image_id,site,path,img_lat,img_lon,cand,cand_lat,cand_lon,fam,d_km,band,truth,arm,cont
1036250735319845,amsterdam_church,streetview\amsterdam_church\1036250735319845.jpg,52.37737484654,4.9025725497574,"Basilica of Saint Nicholas, Amsterdam",52.376528,4.901111,4.0,0.1368,signal,yes,main,EU
1036250735319845,amsterdam_church,streetview\amsterdam_church\1036250735319845.jpg,52.37737484654,4.9025725497574,Schreierstoren,52.376388888,4.902222222,3.0,0.1122,signal,yes,main,EU
1036250735319845,amsterdam_church,streetview\amsterdam_church\1036250735319845.jpg,52.37737484654,4.9025725497574,Amsterdam Centraal station,52.37895,4.90016,5.0,0.2398,0.15-0.3km,no,main,EU
1036250735319845,amsterdam_church,streetview\amsterdam_church\1036250735319845.jpg,52.37737484654,4.9025725497574,Conservatorium van Amsterdam,52.375833,4.908056,3.0,0.4098,0.3-0.7km,no,main,EU
1036250735319845,amsterdam_church,streetview\amsterdam_church\1036250735319845.jpg,52.37737484654,4.9025725497574,"Oude Kerk, Amsterdam",52.374167,4.898056,4.0,0.4704,0.3-0.7km,no,main,EU
1036250735319845,amsterdam_church,streetview\amsterdam_church\1036250735319845.jpg,52.37737484654,4.9025725497574,De Krijtberg,52.367778,4.888056,4.0,1.4526,0.7-1.5km,no,main,EU
1036250735319845,amsterdam_church,streetview\amsterdam_church\1036250735319845.jpg,52.37737484654,4.9025725497574,Museum of Bags and Purses,52.3652,4.8969,2.0,1.4075,0.7-1.5km,no,main,EU
1036250735319845,amsterdam_church,streetview\amsterdam_church\1036250735319845.jpg,52.37737484654,4.9025725497574,Amsterdam Muiderpoort railway station,52.360833333,4.931111111,3.0,2.6716,1.5-3.0km,no,main,EU
1036250735319845,amsterdam_church,streetview\amsterdam_church\1036250735319845.jpg,52.37737484654,4.9025725497574,De Pijp,52.3531,4.8961,3.0,2.7348,1.5-3.0km,no,main,EU
1036250735319845,amsterdam_church,streetview\amsterdam_church\1036250735319845.jpg,52.37737484654,4.9025725497574,Noord metro station,52.401667,4.932222,3.0,3.3682,3.0-6.0km,no,main,EU
1036250735319845,amsterdam_church,streetview\amsterdam_church\1036250735319845.jpg,52.37737484654,4.9025725497574,Amsterdam Lelylaan station,52.357222222,4.833888888,3.0,5.1738,3.0-6.0km,no,main,EU
516373416038884,amsterdam_natura,streetview\amsterdam_natura\516373416038884.jpg,52.366830443151,4.9197136389989,Artis Zoo,52.366111111,4.916666666,5.0,0.2218,0.15-0.3km,no,main,EU
516373416038884,amsterdam_natura,streetview\amsterdam_natura\516373416038884.jpg,52.366830443151,4.9197136389989,Het Scheepvaartmuseum,52.371388888,4.914719444,4.0,0.6098,0.3-0.7km,no,main,EU
516373416038884,amsterdam_natura,streetview\amsterdam_natura\516373416038884.jpg,52.366830443151,4.9197136389989,Micropia,52.366861111,4.912583333,2.0,0.4841,0.3-0.7km,no,main,EU
