site,image_id,path
amsterdam_church,1036250735319845,streetview/amsterdam_church/1036250735319845.jpg
amsterdam_natura,516373416038884,streetview/amsterdam_natura/516373416038884.jpg
amsterdam_vondelpark,2912452038996684,streetview/amsterdam_vondelpark/2912452038996684.jpg
athens_kotzia,190729989566458,streetview/athens_kotzia/190729989566458.jpg
athens_monastiraki,828209511434939,streetview/athens_monastiraki/828209511434939.jpg
athens_national,1143667572727383,streetview/athens_national/1143667572727383.jpg
barcelona_born,130726912407135,streetview/barcelona_born/130726912407135.jpg
barcelona_born,154292879972289,streetview/barcelona_born/154292879972289.jpg
barcelona_born,632625671313587,streetview/barcelona_born/632625671313587.jpg
barcelona_fontana,169553275075263,streetview/barcelona_fontana/169553275075263.jpg
barcelona_fontana,903410113723266,streetview/barcelona_fontana/903410113723266.jpg
barcelona_gracia,130180989095863,streetview/barcelona_gracia/130180989095863.jpg
barcelona_gracia,251335710105974,streetview/barcelona_gracia/251335710105974.jpg
barcelona_gracia,509339620193276,streetview/barcelona_gracia/509339620193276.jpg
barcelona_lesseps,385781315930165,streetview/barcelona_lesseps/385781315930165.jpg
barcelona_sants,822762453806968,streetview/barcelona_sants/822762453806968.jpg
berlin_alte,1348620445524301,streetview/berlin_alte/1348620445524301.jpg
berlin_jewish,314484880385575,streetview/berlin_jewish/314484880385575.jpg
berlin_st,477577623572574,streetview/berlin_st/477577623572574.jpg
bogota_general,2911654482489566,streetview/bogota_general/2911654482489566.jpg
bogota_national,3211043612444726,streetview/bogota_national/3211043612444726.jpg
bogota_planetarium,3821181418008164,streetview/bogota_planetarium/3821181418008164.jpg
boston_chinatown,1132720907192718,streetview/boston_chinatown/1132720907192718.jpg
boston_longfellow,1473516979961618,streetview/boston_longfellow/1473516979961618.jpg
boston_park,1328088438137398,streetview/boston_park/1328088438137398.jpg
boston_park,367722097945156,streetview/boston_park/367722097945156.jpg
budapest_batthyny,1024515582643671,streetview/budapest_batthyny/1024515582643671.jpg
budapest_museum,1062260027616833,streetview/budapest_museum/1062260027616833.jpg
budapest_university,1035925578399762,streetview/budapest_university/1035925578399762.jpg
cdmx_condesa,2930139557273574,streetview/cdmx_condesa/2930139557273574.jpg
cdmx_condesa,303707484528207,streetview/cdmx_condesa/303707484528207.jpg
cdmx_condesa,829036801293483,streetview/cdmx_condesa/829036801293483.jpg
cdmx_roma,1263599267730043,streetview/cdmx_roma/1263599267730043.jpg
cdmx_roma,272596447880534,streetview/cdmx_roma/272596447880534.jpg
cdmx_roma,3812573995528964,streetview/cdmx_roma/3812573995528964.jpg
copenhagen_castle,1140069433587404,streetview/copenhagen_castle/1140069433587404.jpg
copenhagen_det,4029585117102461,streetview/copenhagen_det/4029585117102461.jpg
copenhagen_museum,1103000450178625,streetview/copenhagen_museum/1103000450178625.jpg
delhi_holy,880384989205695,streetview/delhi_holy/880384989205695.jpg
delhi_national,172129334780144,streetview/delhi_national/172129334780144.jpg
delhi_vijay,1485255096489604,streetview/delhi_vijay/1485255096489604.jpg
edinburgh_dugald,1246019787240480,streetview/edinburgh_dugald/1246019787240480.jpg
edinburgh_greyfriars,2026854387467094,streetview/edinburgh_greyfriars/2026854387467094.jpg
edinburgh_greyfriars,7699225470154293,streetview/edinburgh_greyfriars/7699225470154293.jpg
edinburgh_museum,730005887692629,streetview/edinburgh_museum/730005887692629.jpg
hanoi_botanic,1034940767034025,streetview/hanoi_botanic/1034940767034025.jpg
hanoi_college,1032004085228168,streetview/hanoi_college/1032004085228168.jpg
hanoi_well,1104374688335512,streetview/hanoi_well/1104374688335512.jpg
hanoi_well,1390432642176100,streetview/hanoi_well/1390432642176100.jpg
hongkong_fortress,484105032839269,streetview/hongkong_fortress/484105032839269.jpg
hongkong_sai,3051252728424529,streetview/hongkong_sai/3051252728424529.jpg
hongkong_statue,478301073396612,streetview/hongkong_statue/478301073396612.jpg
lima_alejandro,473324287286295,streetview/lima_alejandro/473324287286295.jpg
lima_equestrian,842041836690620,streetview/lima_equestrian/842041836690620.jpg
lima_estadio,127288426707682,streetview/lima_estadio/127288426707682.jpg
lisbon_cais,1791686157672160,streetview/lisbon_cais/1791686157672160.jpg
lisbon_edward,806328096958216,streetview/lisbon_edward/806328096958216.jpg
lisbon_martim,2856142347994065,streetview/lisbon_martim/2856142347994065.jpg
london_barbican,239277707973166,streetview/london_barbican/239277707973166.jpg
london_covent,2047973052781413,streetview/london_covent/2047973052781413.jpg
