site,model,schema,lang,context,path,city,area,place,conf_area,conf_fine,error_km,resolved_level,resolved_label,hit
tokyo_shibuya,gemini-flash,v1,en,high_05_15km_Q1069457,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,Shibuya,Fire Street (Jinnan 1-chome),0.95,0.95,0.527,area,Shibuya,True
tokyo_shibuya,gemini-flash,v1,en,high_05_15km_Q746573,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,Harajuku,Omotesando Avenue,0.95,0.95,1.203,area,Harajuku,False
tokyo_shibuya,gemini-flash,v1,en,mid_05_15km_Q492442,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,"Miyamasuzaka, Shibuya",Miyamasuzaka street (宮益坂),0.95,0.95,0.333,place,宮益坂,True
tokyo_shibuya,gemini-flash,v1,en,mid_05_15km_Q616359,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,"Miyamasuzaka, Shibuya",Miyamasuzaka,0.98,0.98,0.333,area,Miyamasuzaka,True
tokyo_shibuya,gemini-flash,v1,en,high_15_30km_Q1132605,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,"Naka-Meguro, Meguro City",Yamate-dori near Naka-Meguro Station,0.95,0.95,1.694,area,Naka-Meguro,False
tokyo_shibuya,gemini-flash,v1,en,high_15_30km_Q800715,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,Shibuya (Miyamasuzaka),Miyamasuzaka-dori (宮益坂),0.95,0.95,0.333,place,宮益坂,True
tokyo_shibuya,gemini-flash,v1,en,high_15_30km_Q14862239,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,Shinjuku 3-chome,Shinjuku-dori Avenue (near Mitsubishi UFJ Trust and Banking Shinjuku Branch),0.95,0.95,3.426,area,Shinjuku 3-chome,False
tokyo_shibuya,gemini-flash,v1,en,high_15_30km_Q265071,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,Shibuya,Meiji-dori (Shibuya 1-chome),0.95,0.95,0.527,area,Shibuya,True
tokyo_shibuya,gemini-flash,v1,en,high_05_15km_Q800894,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,"Harajuku, Shibuya",Route 413 near Harajuku Station (Jingumae 1-chome),0.95,0.95,1.203,area,Harajuku,False
tokyo_shibuya,gemini-flash,v1,en,high_05_15km_Q1204253,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,Shibuya,Shibuya Koen-dori,0.95,0.95,0.527,area,Shibuya,True
tokyo_shibuya,gemini-flash,v1,en,mid_15_30km_Q963709,streetview\tokyo_shibuya\1183435175413354.jpg,Hiratsuka,Hiratsuka Station North Exit,"Takaracho, near Mitsubishi UFJ Trust and Banking (Hiratsuka Branch)",0.9,0.9,6.689,place,Takaracho,False
tokyo_shibuya,claude-haiku-4-5,v1,en,high_05_15km_Q1069457,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,Shibuya,unknown,0.75,0.75,0.527,area,Shibuya,True
tokyo_shibuya,claude-haiku-4-5,v1,en,high_05_15km_Q746573,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,Harajuku,unknown,0.75,0.75,1.203,area,Harajuku,False
tokyo_shibuya,claude-haiku-4-5,v1,en,high_05_15km_Q1204253,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,Shibuya,unknown,0.85,0.85,0.527,area,Shibuya,True
tokyo_shibuya,claude-haiku-4-5,v1,en,high_05_15km_Q800894,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,Harajuku,unknown,0.85,0.85,1.203,area,Harajuku,False
tokyo_shibuya,claude-haiku-4-5,v1,en,mid_05_15km_Q616359,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,"Minato Ward, Aoyama",unknown,0.75,0.75,4.613,area,Minato Ward,False
tokyo_shibuya,claude-haiku-4-5,v1,en,high_15_30km_Q800715,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,Ebisu,unknown,0.85,0.85,2.177,area,Ebisu,False
tokyo_shibuya,claude-haiku-4-5,v1,en,mid_05_15km_Q492442,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,"Minato Ward, near Roppongi",unknown,0.85,0.85,4.613,area,Minato Ward,False
tokyo_shibuya,claude-haiku-4-5,v1,en,high_15_30km_Q1132605,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,"Meguro Ward, Naka-Meguro",unknown,0.85,0.85,2.15,area,Meguro Ward,False
tokyo_shibuya,claude-haiku-4-5,v1,en,high_15_30km_Q14862239,streetview\tokyo_shibuya\1183435175413354.jpg,Tokyo,Shinjuku,unknown,0.7,0.7,3.833,area,Shinjuku,False
